"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULTIMA_ATUALIZACAO";"HH_ULTIMA_ATUALIZACAO"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"25";"51";"Crédito decorrente de empréstimo";"CREDITO A RECEBER DE EMPRÉSTIMOS EFETUADOS PARA A EMPRESA CENTRO AUTOMOTIVO CAMINHO CERTO - CNPJ 02.727.407/0001-40";"895414,00";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"26";"51";"Crédito decorrente de empréstimo";"CREDITO REFERENTE A CONTRATO DE EMPRÉSTIMO EFETUADO EM 19/02/2013 DE DINHEIRO ENTRE PESSOAS";"102282,42";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"27";"51";"Crédito decorrente de empréstimo";"CRÉDITO REFERENTE A EMPRESTIMO EFETUADO EM 02/04/2013, MEDIANTE CONTRATO DE EMPRÉSTIMO DE DINHEIRO ENTRE PESSOAS FÍSICAS.";"401942,46";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"28";"41";"Caderneta de poupança";"CADERNETA DE POUPANÇA AG.0762-5";"16233,17";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"29";"71";"Fundo de investimento financeiro - FIF";"BANCO BRADESCO PRIME AG. 0762 FUNDO DE INVESTIMENTO RF MACRO";"14799,22";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"30";"74";"Fundo de ações, inclusive Carteira Livre e Fundo de Investimento no exterior";"BANCO BRADESCO PRIME - AG. 0762-5 FUNDO DE AÇÕES FIQ FIA DIVIDENDOS";"118721,53";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"31";"71";"Fundo de investimento financeiro - FIF";"BANCO BRADESCO PRIME - AG.0762-5 FUNDO DE INVESTIMENTO DI ESPECIAL";"494576,97";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"32";"79";"Outros fundos";"BANCO BRADESCO PRIME AG. 0762-5 4 LCI LETRAS DE CRÉDITO IMOBILIÁRIO";"1202131,19";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"33";"79";"Outros fundos";"CAIXA ECONÔMICA FEDERAL AG. 4085 - APLICAÇÃO EM LCI - LETRAS DE CRÉDITO IMOBILIÁRIO";"136135,04";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"34";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL - AG. 4856-9 STILO BOA VISTA APLICAÇÃO EM CDB";"15538,12";"12/07/2018";"16:35:38"
"20/09/2018";"09:50:19";"2014";"2";"Eleição Ordinária";"143";"Eleições Gerais 2014";"05/10/2014";"BR";"BR";"BRASIL";"280000000067";"35";"45";"Aplicação de renda fixa (CDB, RDB e outros)";"BANCO DO BRASIL - AG 4856-9 STILO ALTO BOA VISTA FUNDO INV. DI LP VIP STILO";"222698,13";"12/07/2018";"16:35:38"
